Rank,All Noise,Low Static Noise,High Static Noise,Low Dynamical Noise,High Dynamical Noise
1,Autocovariance (0.20),Autocovariance (0.23),Autocovariance (0.23),Autocovariance (0.18),Mean (0.05)
2,Variance (0.20),Mean (0.20),Mean (0.21),Variance (0.14),Variance (0.05)
3,Mean (0.18),Variance (0.20),Variance (0.18),Mean (0.13),Autocovariance (0.04)
4,Index of dispersion (0.13),Autocorrelation (0.18),Index of dispersion (0.17),Index of dispersion (0.10),Coefficient of variation (0.02)
5,Autocorrelation (0.12),Index of dispersion (0.17),Coefficient of variation (0.16),Autocorrelation (0.09),Autocorrelation (0.02)
6,Coefficient of variation (0.11),Coefficient of variation (0.09),Autocorrelation (0.16),Skewness (0.07),Skewness (0.01)
7,Skewness (0.10),Skewness (0.07),Skewness (0.09),Coefficient of variation (0.05),Index of dispersion (0.01)
8,Kurtosis (0.03),Kurtosis (0.05),Kurtosis (0.01),Kurtosis (0.01),Kurtosis (0.00)
