Rank,All Noise,Low Static Noise,High Static Noise,Low Dynamical Noise,High Dynamical Noise
1,Variance (0.62),Variance (0.61),Variance (0.60),Variance (0.66),Index of dispersion (0.47)
2,Index of dispersion (0.58),Index of dispersion (0.58),Index of dispersion (0.59),Autocovariance (0.62),Autocorrelation (0.45)
3,Autocovariance (0.58),Autocovariance (0.55),Coefficient of variation (0.59),Index of dispersion (0.57),Coefficient of variation (0.45)
4,Autocorrelation (0.38),Coefficient of variation (0.51),Autocovariance (0.50),Mean (0.48),Autocovariance (0.39)
5,Mean (0.38),Autocorrelation (0.40),Mean (0.36),Autocorrelation (0.42),Variance (0.38)
6,Coefficient of variation (0.15),Mean (0.35),Autocorrelation (0.36),Coefficient of variation (0.12),Skewness (0.11)
7,Skewness (0.06),Skewness (0.14),Skewness (0.11),Skewness (-0.03),Kurtosis (-0.19)
8,Kurtosis (-0.02),Kurtosis (0.01),Kurtosis (0.00),Kurtosis (-0.10),Mean (-0.22)
